,DT,DT_NAME,UNDERTAKING,BUSINESS_UNIT,FEEDER_NO,FEEDER_NAME
5887,1000258453,11-AgegeINJ-T2-Orile Agege-HVDS OWOLABI OMOTOYE 1 B,ORILE-AGEGE,AKOWONJO,1070509,AGEGE-ORILE ROAD
6655,1000254805,CAPITOL ROAD POLE 10,AKOWONJO,AKOWONJO,1066342,CAPITOL
7935,1000234774,11-EkoroINJ-T2-Oke Odo-IREPODUN,OKE-ODO,AKOWONJO,1070470,OKE ODO
256,1001610858,11-Oke IraINJ-T1-Oke Ira-28 HVDS  OLAOMIBIYI,OKE-IRA,IKEJA,1069250,OKEIRA
1280,1001602052,11-Oke IraINJ-T1-Oke Ira-95 IJAIYE ROAD,IFAKO,IKEJA,1069250,OKEIRA
3328,1000284180,"11-Oke IraINJ-T1-Nob Oluwa-BLOCK 25, KADIRI",OGBA,IKEJA,1069246,NOB OLUWA
3584,1000282137,11-OgbaINJ-T3-Agege-4 OMOMO STREET,IFAKO,IKEJA,1070899,AGEGE
4096,1000280668,11-OgbaINJ-T1-Ijaye-12B OLUFUMILAYO HVDS(ADENEKAN SALAKO),OGBA,IKEJA,1079549,IJAIYE
4608,1000270177,11-Oke IraINJ-T2-Abiodun Jagun-9 HVDS AJAYI RD,OKE-IRA,IKEJA,1069292,ABIODUN JAGUN
4864,1000266521,11-Oke IraINJ-T2-Abiodun Jagun-1B HVDS CHURCH 50KVA,OKE-IRA,IKEJA,1069292,ABIODUN JAGUN
5632,1000260197,11-AgegeINJ-T3-Oyemekun-59 OYEMEKUN STREET,IFAKO,IKEJA,1070842,OYEMEKUN
769,1001606918,33-AlausaTCN-OPIC-FORTHRIGHT II,OJODU,IKEJA,1079393,ALAUSA-OPIC
3329,1000283488,11-Oke IraINJ-T1-Nob Oluwa-BLK 6 CIVILIAN AND POLICE BARRACKS HVDS,OGBA,IKEJA,1069246,NOB OLUWA
3585,1000282134,11-AgegeINJ-T3-Oyemekun-4 OSHOLA STREET,IFAKO,IKEJA,1070842,OYEMEKUN
4097,1000280665,11-OgbaINJ-T1-Ijaye-HVDS (KEKE)-BLK 39,OGBA,IKEJA,1079549,IJAIYE
4609,1000270603,11-Oke IraINJ-T2-Abiodun Jagun-33 HVDS AJAYI RD,OKE-IRA,IKEJA,1069292,ABIODUN JAGUN
4865,1000265922,11-Oke IraINJ-T2-Abiodun Jagun-HVDS AYO ADEDURO,OKE-IRA,IKEJA,1069292,ABIODUN JAGUN
5633,1000260195,11-Oke IraINJ-T2-Thomas Salako-53 THOMAS SALAKO STREET,IFAKO,IKEJA,1069281,OKEIRA-THOMAS SALAKO
770,1001606916,33-AlausaTCN-OPIC-FORTHRIGHT ESTATE I,OJODU,IKEJA,1079393,ALAUSA-OPIC
1282,1001602050,11-Oke IraINJ-T1-Oke Ira-8 BABALOLA AYODELE C,IFAKO,IKEJA,1069250,OKEIRA
1538,1001600448,11-AgegeINJ-T1-Iju Road-IMOLA FILLING STATION,IFAKO,IKEJA,1070846,IJU ROAD
3330,1000284163,11-Oke IraINJ-T1-Nob Oluwa-28 OLADELE KADIRI HVDS 25KVA,OGBA,IKEJA,1069246,NOB OLUWA
3586,1000282129,11-AgegeINJ-T3-Oyemekun-10 OSHOLA STREET,IFAKO,IKEJA,1070842,OYEMEKUN
4610,1000270173,11-Oke IraINJ-T2-Abiodun Jagun-32 HVDS  KADIRI,OKE-IRA,IKEJA,1069292,ABIODUN JAGUN
4866,1000265920,11-Oke IraINJ-T2-Abiodun Jagun-11 HVDS  OLA,OKE-IRA,IKEJA,1069292,ABIODUN JAGUN
5634,1000259946,11-AgegeINJ-T3-Oyemekun-46 OYEMEKUN STR,IFAKO,IKEJA,1070842,OYEMEKUN
259,1001612976,11-Oke IraINJ-T1-Oke Ira-23A IJAIYE ROAD,IFAKO,IKEJA,1069250,OKEIRA
771,1001606914,11-SecretariatINJ-T2-UAC-SANYAOLU,OREGUN,IKEJA,1079213,UAC
4611,1000270170,11-Oke IraINJ-T2-Abiodun Jagun-7 HVDS  KADIRI,OKE-IRA,IKEJA,1069292,ABIODUN JAGUN
4867,1000265915,11-Oke IraINJ-T2-Abiodun Jagun-16 HVDS  ADEYINKA,OKE-IRA,IKEJA,1069292,ABIODUN JAGUN
5635,1000260192,11-Oke IraINJ-T2-Thomas Salako-49 THOMAS SALAKO STREET,IFAKO,IKEJA,1069281,OKEIRA-THOMAS SALAKO
772,1001606912,11-SecretariatINJ-T2-UAC-OLANREWAJU,OREGUN,IKEJA,1079213,UAC
1028,1001604942,11-OgbaINJ-T2-Ifako-LAGOS STREET 500KVA,OGBA,IKEJA,1079545,OGBA-IFAKO
1540,1001600946,11-AgegeINJ-T1-Iju Road-IMOLA EST 3,IFAKO,IKEJA,1070846,IJU ROAD
3332,1000283474,11-Oke IraINJ-T1-Nob Oluwa-BLK 3 CIVILIAN AND POLICE BARRACKS HVDS,OGBA,IKEJA,1069246,NOB OLUWA
4100,1000280155,11-OgbaINJ-T1-Ijaye-HVDS (KEKE)-BLK 59,OGBA,IKEJA,1079549,IJAIYE
4612,1000270167,11-Oke IraINJ-T2-Abiodun Jagun-10 HVDS  KADIRI,OKE-IRA,IKEJA,1069292,ABIODUN JAGUN
4868,1000265907,11-Oke IraINJ-T2-Abiodun Jagun-7 HVDS ADELEKE CLOSE,OKE-IRA,IKEJA,1069292,ABIODUN JAGUN
5636,1000259942,11-Oke IraINJ-T2-Thomas Salako-22 THOMAS SALAKO STREET,IFAKO,IKEJA,1069281,OKEIRA-THOMAS SALAKO
7940,1000234639,11-PTCINJ-T3-Olowu-MAJEKODUNMI,PTC,IKEJA,1070933,PTC-OLOWU
773,1001605087,11-SecretariatINJ-T2-UAC-BAMIDELE OGUNDELE,OREGUN,IKEJA,1079213,UAC
1285,1001602044,11-AgegeINJ-T3-Oyemekun-11 OMOAKIN STREET,IFAKO,IKEJA,1070842,OYEMEKUN
3333,1000283472,11-Oke IraINJ-T1-Nob Oluwa-29/30 OLADELE KADIRI HVDS 25KVA,OGBA,IKEJA,1069246,NOB OLUWA
4101,1000280655,11-Oke IraINJ-T1-Nob Oluwa-11 HVDS CELESTIAL AVENUE,OKE-IRA,IKEJA,1069246,NOB OLUWA
4613,1000270101,11-Oke IraINJ-T2-Abiodun Jagun-6 HVDS  KADIRI,OKE-IRA,IKEJA,1069292,ABIODUN JAGUN
4869,1000265904,11-Oke IraINJ-T2-Abiodun Jagun-3 HVDS ADELEKE CLOSE,OKE-IRA,IKEJA,1069292,ABIODUN JAGUN
5125,1000262776,11-AgegeINJ-T3-Oyemekun-9 OLAOSEBIKAN,IFAKO,IKEJA,1070842,OYEMEKUN
5637,1000259939,11-Oke IraINJ-T2-Kayode-423 GEORGE CRESCENT,OGBA,IKEJA,1069288,KAYODE
5893,1000258813,11-Oke IraINJ-T2-Kayode-WALE TAIWO HVDS - 40 ABISOGUN-LEIGH,OGBA,IKEJA,1069288,KAYODE
7941,1000234636,11-PTCINJ-T3-Olowu-AKINTOYE SHOGUNLE,PTC,IKEJA,1070933,PTC-OLOWU
774,1001605085,11-SecretariatINJ-T2-7UP-TIT-RAHAL (LADY B),OREGUN,IKEJA,1079209,7UP
3334,1000284140,11-Oke IraINJ-T1-Nob Oluwa-BLK 8 CIVILIAN AND POLICE BARRACKS HVDS,OGBA,IKEJA,1069246,NOB OLUWA
3590,1000282116,11-AgegeINJ-T3-Oyemekun-28 OYEMEKUN STREET,IFAKO,IKEJA,1070842,OYEMEKUN
4102,1000280653,11-AgegeINJ-T3-Oyemekun-17 ADELEKE ODUNUGA STREET,IFAKO,IKEJA,1070842,OYEMEKUN
4614,1000270156,11-Oke IraINJ-T2-Abiodun Jagun-4 HVDS BOLODEOKU CL,OKE-IRA,IKEJA,1069292,ABIODUN JAGUN
4870,1000265901,11-Oke IraINJ-T2-Abiodun Jagun-1 HVDS ADELEKE CLOSE,OKE-IRA,IKEJA,1069292,ABIODUN JAGUN
5126,1000262774,11-AgegeINJ-T3-Oyemekun-3 MOJISOLA STREET,IFAKO,IKEJA,1070842,OYEMEKUN
5894,1000258810,11-Oke IraINJ-T2-Kayode-BLK 40 OLUWOLE HVDS 25KVA,OGBA,IKEJA,1069288,KAYODE
7942,1000234634,11-PTCINJ-T3-Olowu-OMOTAYO OJO,PTC,IKEJA,1070933,PTC-OLOWU
263,1001612968,11-Oke IraINJ-T1-Oke Ira-22 AKINWALE ST,IFAKO,IKEJA,1069250,OKEIRA
775,1001605083,11-SecretariatINJ-T2-7UP-PIXLE AND AXLE,OREGUN,IKEJA,1079209,7UP
1287,1001602040,11-Oke IraINJ-T1-Oke Ira-8 AKINWALE ST.,IFAKO,IKEJA,1069250,OKEIRA
1543,1001600940,11-AgegeINJ-T1-Iju Road-IMOLA EST 2,IFAKO,IKEJA,1070846,IJU ROAD
2567,1001221440,11-IlupejuINJ-T4-Ikorodu-ISMAIL ESTATE,PTC,IKEJA,1070725,IKORODU RD
3335,1000284137,11-Oke IraINJ-T1-Nob Oluwa-BLK 11 CIVILIAN AND POLICE BARRACKS HVDS,OGBA,IKEJA,1069246,NOB OLUWA
4103,1000280637,11-AgegeINJ-T3-Oyemekun-4 ADELEKE ODUNUGA STREET,IFAKO,IKEJA,1070842,OYEMEKUN
4871,1000265898,11-Oke IraINJ-T2-Abiodun Jagun-21 HVDS  ADEYINKA,OKE-IRA,IKEJA,1069292,ABIODUN JAGUN
5127,1000262772,11-AgegeINJ-T3-Oyemekun-29 MOJISOLA STREET,OKE-IRA,IKEJA,1070842,OYEMEKUN
8,1001618904,11-OgbaINJ-T1-Ijaye-BLK 104 GROUNDMOUNTED  MEDIUM,OGBA,IKEJA,1079549,IJAIYE
776,1001605081,11-SecretariatINJ-T1-Omole-VALLEY VIEW,OBA AKRAN,IKEJA,1079205,OMOLE
2568,1001221437,11-IlupejuINJ-T4-Ikorodu-AINA ELEKO,PTC,IKEJA,1070725,IKORODU RD
3336,1000283466,11-Oke IraINJ-T1-Nob Oluwa-BLK 9 CIVILIAN AND POLICE BARRACKS HVDS,OGBA,IKEJA,1069246,NOB OLUWA
3592,1000282109,11-AgegeINJ-T3-Oyemekun-13 OTUNUBIN STREET,IFAKO,IKEJA,1070842,OYEMEKUN
4104,1000280634,11-Oke IraINJ-T1-Nob Oluwa-13 HVDS KAYODE JOSEPH,OKE-IRA,IKEJA,1069246,NOB OLUWA
4872,1000265895,11-Oke IraINJ-T2-Abiodun Jagun-7 HVDS  ADEYINKA,OKE-IRA,IKEJA,1069292,ABIODUN JAGUN
5128,1000262770,11-AgegeINJ-T3-Oyemekun-28 MOJISOLA STREET,IFAKO,IKEJA,1070842,OYEMEKUN
8968,1000189155,11-New AlausaINJ-T6-Awolowo-OBOKUN,PTC,IKEJA,1070774,AWOLOWO 
265,1001612962,11-Oke IraINJ-T1-Oke Ira-2 IJAIYE ROAD,IFAKO,IKEJA,1069250,OKEIRA
777,1001605079,11-SecretariatINJ-T1-Omole-OMOTUNDE AKINSOLA,OBA AKRAN,IKEJA,1079205,OMOLE
2825,1000533966,NOB OLUWA-SAMUEL ABEGUNDE,OKE-IRA,IKEJA,1069246,NOB OLUWA
3337,1000284132,11-OgbaINJ-T1-Ijaye-BLK 77-HVDS PHASE 1,OGBA,IKEJA,1079549,IJAIYE
4105,1000280129,11-AgegeINJ-T3-Oyemekun-13 ADELEKE ODUNUGA STREET,IFAKO,IKEJA,1070842,OYEMEKUN
4873,1000265892,11-Oke IraINJ-T2-Abiodun Jagun-9 HVDS  ADEYINKA,OKE-IRA,IKEJA,1069292,ABIODUN JAGUN
5129,1000262768,11-AgegeINJ-T3-Oyemekun-1 OGUNBORE STREET,IFAKO,IKEJA,1070842,OYEMEKUN
7433,1000239456,11-New AlausaINJ-T5-Kudirat-SUNDAY ADIGUN,OREGUN,IKEJA,1074349,KUDIRAT
778,1001605077,11-SecretariatINJ-T1-Omole-LAGOS NEW TOWN,OBA AKRAN,IKEJA,1079205,OMOLE
1034,1001604932,11-OgbaINJ-T2-Ifako-AKILO,OGBA,IKEJA,1079545,OGBA-IFAKO
1290,1001601493,11-AgegeINJ-T3-Oyemekun-1 COKER CLOSE,IFAKO,IKEJA,1070842,OYEMEKUN
1546,1001600936,11-AgegeINJ-T1-Iju Road-IJU LANDLORD ASSOCIATION,IFAKO,IKEJA,1070846,IJU ROAD
3338,1000283462,11-Oke IraINJ-T1-Nob Oluwa-14 OLADELE KADIRI HVDS 25KVA,OGBA,IKEJA,1069246,NOB OLUWA
4106,1000280127,11-Oke IraINJ-T1-Nob Oluwa-16 HVDS KAYODE JOSEPH,OKE-IRA,IKEJA,1069246,NOB OLUWA
5130,1000262513,11-AgegeINJ-T3-Oyemekun-9 MOJISOLA STREET,IFAKO,IKEJA,1070842,OYEMEKUN
779,1001605075,11-SecretariatINJ-T1-Omole-DAMILOLA FASHADE,OBA AKRAN,IKEJA,1079205,OMOLE
3339,1000283459,11-OgbaINJ-T1-Ijaye-BLK 49-HVDS PHASE 1,OGBA,IKEJA,1079549,IJAIYE
5131,1000262764,11-AgegeINJ-T3-Oyemekun-34 MOJISOLA STREET,IFAKO,IKEJA,1070842,OYEMEKUN
780,1001605073,11-SecretariatINJ-T1-Omole-CELESTIAL CHURCH OF CHRIST,OBA AKRAN,IKEJA,1079205,OMOLE
3340,1000283443,11-OgbaINJ-T1-Ijaye-BLK 6 -HVDS PHASE 1,OGBA,IKEJA,1079549,IJAIYE
4108,1000280628,11-Oke IraINJ-T1-Nob Oluwa-16 HVDS POWERLINE,OKE-IRA,IKEJA,1069246,NOB OLUWA
5132,1000262762,11-AgegeINJ-T3-Oyemekun-16 MOJISOLA,IFAKO,IKEJA,1070842,OYEMEKUN
269,1001612956,11-Oke IraINJ-T1-Oke Ira-2 AKINWALE STREET,IFAKO,IKEJA,1069250,OKEIRA
781,1001605071,11-SecretariatINJ-T1-Omole-AMARA OLU,OBA AKRAN,IKEJA,1079205,OMOLE
3341,1000283480,11-Oke IraINJ-T1-Nob Oluwa-24 OLADELE KADIRI HVDS 25KVA,OGBA,IKEJA,1069246,NOB OLUWA
5133,1000262756,11-AgegeINJ-T3-Oyemekun-6 OGUNBORE STREET,IFAKO,IKEJA,1070842,OYEMEKUN
6413,1000255886,11-AgegeINJ-T3-Oyemekun-30 ADEOLA AVENUE,IFAKO,IKEJA,1070842,OYEMEKUN
782,1001605069,11-SecretariatINJ-T1-Omole-ADRON PROPERTIES MANAGEMENT II,OBA AKRAN,IKEJA,1079205,OMOLE
1038,1001605406,11-OgbaINJ-T2-Ifako-AJUMOBI,ANIFOWOSHE,IKEJA,1079545,OGBA-IFAKO
2830,1000533940,11-Oke IraINJ-T2-Thomas Salako-BISHOP HUGHES 500 KVA SS,IFAKO,IKEJA,1069281,OKEIRA-THOMAS SALAKO
3342,1000283478,11-Oke IraINJ-T1-Nob Oluwa-13A OLADELE KADIRI HVDS 25KVA,OGBA,IKEJA,1069246,NOB OLUWA
4110,1000280621,11-AgegeINJ-T3-Oyemekun-10 ADELEKE ODUNUGA STREET,IFAKO,IKEJA,1070842,OYEMEKUN
5134,1000262754,11-AgegeINJ-T3-Oyemekun-3 OGUNBORE STREET,IFAKO,IKEJA,1070842,OYEMEKUN
271,1001612922,11-AgegeINJ-T1-Iju Road-16 AJILETE STREET,IFAKO,IKEJA,1070846,IJU ROAD
783,1001605067,11-SecretariatINJ-T1-Lateef Jakande-ISHERI RD,OJODU,IKEJA,1079201,LATEEF JAKANDE
1551,1001600920,11-AgegeINJ-T1-Iju Road-38 IJU ROAD,IFAKO,IKEJA,1070846,IJU ROAD
3343,1000283476,11-Oke IraINJ-T1-Nob Oluwa-BLK 2 CIVILIAN AND POLICE BARRACKS HVDS,OGBA,IKEJA,1069246,NOB OLUWA
4111,1000280619,11-Oke IraINJ-T1-Nob Oluwa-15A HVDS POWERLINE,OKE-IRA,IKEJA,1069246,NOB OLUWA
5135,1000262752,11-AgegeINJ-T3-Oyemekun-12 EMMANUEL OLORUNFEMI STREET,IFAKO,IKEJA,1070842,OYEMEKUN
6415,1000255882,11-AgegeINJ-T3-Oyemekun-23 ADEOLA AVENUE,IFAKO,IKEJA,1070842,OYEMEKUN
272,1001610848,11-Adeniyi JonesINJ-T1-Ajao-P.W. ESTATE,ANIFOWOSHE,IKEJA,1069324,ADENIYI-AJAO ROAD
784,1001605065,11-SecretariatINJ-T1-Lateef Jakande-GOVERNMENT TECHNICAL COLLEGE,OBA AKRAN,IKEJA,1079201,LATEEF JAKANDE
1296,1001601482,"11-AgegeINJ-T1-Iju Road-ROLAM SCHOOL, 52 IJU ROAD",IFAKO,IKEJA,1070846,IJU ROAD
3344,1000284135,11-Oke IraINJ-T1-Nob Oluwa-10 ERINOLA SALAKO,OGBA,IKEJA,1069246,NOB OLUWA
3600,1000281945,30A IJU ROAD,IFAKO,IKEJA,1070842,OYEMEKUN
4112,1000280616,11-Oke IraINJ-T1-Nob Oluwa-1 HVDS CELESTRIAL AVE,OKE-IRA,IKEJA,1069246,NOB OLUWA
5136,1000262462,11-AgegeINJ-T3-Oyemekun-5 QUADRIS STREET,IFAKO,IKEJA,1070842,OYEMEKUN
6416,1000255880,11-AgegeINJ-T3-Oyemekun-9 ADEOLA AVENUE,IFAKO,IKEJA,1070842,OYEMEKUN
273,1001612914,11-Adeniyi JonesINJ-T1-Ajao-OGUNLOWO/KOFOROLA,ANIFOWOSHE,IKEJA,1069324,ADENIYI-AJAO ROAD
785,1001605063,11-PTCINJ-T3-General Hospital-ODUDUWA CRESCENT I,PTC,IKEJA,1070941,PTC-GENERAL HOSPITAL
1041,1001604926,11-Oke IraINJ-T2-Abiodun Jagun-OYATOGUN 500KVA,OKE-IRA,IKEJA,1069292,ABIODUN JAGUN
2833,1000533938,11-Oke IraINJ-T2-Thomas Salako-ONIJEMO 500KVA SS,IFAKO,IKEJA,1069281,OKEIRA-THOMAS SALAKO
3345,1000283469,11-OgbaINJ-T1-Ijaye-BLK 59-HVDS PHASE 1,OGBA,IKEJA,1079549,IJAIYE
4113,1000280605,11-AgegeINJ-T3-Oyemekun-22B ADELEKE ODUNUGA STREET,IFAKO,IKEJA,1070842,OYEMEKUN
5137,1000262456,11-AgegeINJ-T3-Oyemekun-18 AJAKAYE STREET,IFAKO,IKEJA,1070842,OYEMEKUN
274,1001610846,11-Oke IraINJ-T1-Oke Ira-10 HVDS BABATUNDE,OKE-IRA,IKEJA,1069250,OKEIRA
786,1001605061,11-PTCINJ-T3-General Hospital-ADEKUNLE FAJUYI,PTC,IKEJA,1070941,PTC-GENERAL HOSPITAL
2834,1000533936,11-Oke IraINJ-T2-Thomas Salako-HARUNA 500KVA S/S,IFAKO,IKEJA,1069281,OKEIRA-THOMAS SALAKO
3346,1000283456,11-OgbaINJ-T1-Ijaye-BLK 51-HVDS PHASE 1,OGBA,IKEJA,1079549,IJAIYE
4114,1000279602,11-Oke IraINJ-T1-Nob Oluwa-3 HVDS SILIFATU ABIOYE,OKE-IRA,IKEJA,1069246,NOB OLUWA
5138,1000262743,11-AgegeINJ-T3-Oyemekun-14 AJAKAYE STREET,IFAKO,IKEJA,1070842,OYEMEKUN
7186,1000245118,11-SecretariatINJ-T1-Lateef Jakande-BABATUNDE LADEGA,OBA AKRAN,IKEJA,1079201,LATEEF JAKANDE
8978,1000181608,11-New AlausaINJ-T6-Awolowo-DIPEOLU,PTC,IKEJA,1070774,AWOLOWO 
275,1001612558,11-Oke IraINJ-T1-Oke Ira-10 AKINWALE ST.,IFAKO,IKEJA,1069250,OKEIRA
787,1001605059,11-PTCINJ-T3-Oba Akinjobi-SOWEMIMO,PTC,IKEJA,1070937,PTC-OBA AKINJOBI
1043,1001604520,11-Oke IraINJ-T2-Abiodun Jagun-IYALODE 300,OKE-IRA,IKEJA,1069292,ABIODUN JAGUN
2835,1000533934,11-Oke IraINJ-T2-Thomas Salako-ADEPITAN 1 500 KVA SS,IFAKO,IKEJA,1069281,OKEIRA-THOMAS SALAKO
3347,1000283454,11-Oke IraINJ-T2-Kayode-ADARANIJO - 320 ODUSAMI,OGBA,IKEJA,1069288,KAYODE
3603,1000281941,11-Oke IraINJ-T2-Abiodun Jagun-22 HVDS AYO ALABI STR,OKE-IRA,IKEJA,1069292,ABIODUN JAGUN
4115,1000280119,11-AgegeINJ-T3-Oyemekun-21 HARMONY CLOSE,IFAKO,IKEJA,1070842,OYEMEKUN
788,1001605057,11-PTCINJ-T3-Oba Akinjobi-REMI FANI-KAYODE I,PTC,IKEJA,1070937,PTC-OBA AKINJOBI
1556,1001600910,11-AgegeINJ-T1-Iju Road-2B COLLEGE ROAD,IFAKO,IKEJA,1070846,IJU ROAD
2836,1000533932,11-Oke IraINJ-T2-Thomas Salako-ADEPITAN 2 500 KVA SS,IFAKO,IKEJA,1069281,OKEIRA-THOMAS SALAKO
3348,1000284128,11-OgbaINJ-T1-Ijaye-BLK 75-HVDS PHASE 1,OGBA,IKEJA,1079549,IJAIYE
4884,1000266453,11-Oke IraINJ-T1-Nob Oluwa-4-HVDS  TAJUDEEN AGBEDE,OKE-IRA,IKEJA,1069246,NOB OLUWA
5140,1000262778,11-AgegeINJ-T3-Oyemekun-40 MOJISOLA STREET,IFAKO,IKEJA,1070842,OYEMEKUN
5652,1000259886,11-Oke IraINJ-T2-Kayode-40 ADERINTO STREET,IFAKO,IKEJA,1069288,KAYODE
6420,1000255451,11-AgegeINJ-T3-Oyemekun-4 ADELEKE ODUNUGA CLOSE,IFAKO,IKEJA,1070842,OYEMEKUN
789,1001605055,11-PTCINJ-T3-Oba Akinjobi-HERBERT MACAULAY I,PTC,IKEJA,1070937,PTC-OBA AKINJOBI
1301,1001602010,11-AgegeINJ-T1-Iju Road-PLOT 85 IJU ROAD,IFAKO,IKEJA,1070846,IJU ROAD
2837,1000533930,11-Oke IraINJ-T2-Thomas Salako-IDOWU SHOGBADE 500 KVA SS,IFAKO,IKEJA,1069281,OKEIRA-THOMAS SALAKO
3349,1000284124,11-OgbaINJ-T1-Ijaye-BLK 73-HVDS PHASE 1,OGBA,IKEJA,1079549,IJAIYE
3605,1000281939,11-Oke IraINJ-T2-Abiodun Jagun-13 HVDS AYO ALABI STR,OKE-IRA,IKEJA,1069292,ABIODUN JAGUN
4885,1000265862,11-Oke IraINJ-T1-Nob Oluwa-8-HVDS  TAJUDEEN AGBEDE,OKE-IRA,IKEJA,1069246,NOB OLUWA
5141,1000262766,11-AgegeINJ-T3-Oyemekun-18 MOJISOLA,IFAKO,IKEJA,1070842,OYEMEKUN
278,1001610836,11-Oke IraINJ-T1-Oke Ira- HVDS MAFO,OKE-IRA,IKEJA,1069250,OKEIRA
790,1001605053,11-OpebiINJ-T1-Olusosun-OLUSOSUN 1,OREGUN,IKEJA,1070924,OLUSOSUN
2838,1000534936,11-Oke IraINJ-T2-Thomas Salako-ODEBIYI 500 KVA SS,IFAKO,IKEJA,1069281,OKEIRA-THOMAS SALAKO
3350,1000283452,11-Oke IraINJ-T1-Nob Oluwa-6 ERINOLA SALAKO HVDS 25KVA,OGBA,IKEJA,1069246,NOB OLUWA
3606,1000281937,11-AgegeINJ-T3-Oyemekun-Nubi 3,IFAKO,IKEJA,1070842,OYEMEKUN
4886,1000265859,11-Oke IraINJ-T1-Nob Oluwa-5 HVDS  FEMI JEFERSON,OKE-IRA,IKEJA,1069246,NOB OLUWA
5142,1000262759,11-AgegeINJ-T3-Oyemekun-14 GBAGBA CRESCENT,IFAKO,IKEJA,1070842,OYEMEKUN
5654,1000259878,11-Oke IraINJ-T2-Kayode-8 AKINFENWA STREET,IFAKO,IKEJA,1069288,KAYODE
5910,1000258438,11-Oke IraINJ-T2-Kayode-BLK 39 OLUWOLE HVDS 25KVA,OGBA,IKEJA,1069288,KAYODE
6422,1000255437,"11-AgegeINJ-T3-Oyemekun-2B, HARMONY DRIVE",IFAKO,IKEJA,1070842,OYEMEKUN
7190,1000245122,11-SecretariatINJ-T1-Lateef Jakande-TADE,OBA AKRAN,IKEJA,1079201,LATEEF JAKANDE
791,1001605051,11-OpebiINJ-T1-Olusosun-OLADEJO,OREGUN,IKEJA,1070924,OLUSOSUN
2839,1000533928,11-Oke IraINJ-T2-Thomas Salako-REV. OGUNDELE 500 KVA SS,IFAKO,IKEJA,1069281,OKEIRA-THOMAS SALAKO
3351,1000284120,11-OgbaINJ-T1-Ijaye-BLK 72-HVDS PHASE 1,OGBA,IKEJA,1079549,IJAIYE
3607,1000281933,11-Oke IraINJ-T2-Abiodun Jagun-25 HVDS YUSUFF,OKE-IRA,IKEJA,1069292,ABIODUN JAGUN
4119,1000280077,11-Oke IraINJ-T1-Nob Oluwa-1 HVDS  SAMUEL ABEGUNDE,OKE-IRA,IKEJA,1069246,NOB OLUWA
4375,1000273793,11-AgegeINJ-T3-Pen Cinema-13 SAMBE STR,OGBA,IKEJA,1070513,AGEGE-PENCINEMA
4887,1000265850,11-Oke IraINJ-T1-Nob Oluwa-11 OGO OLUWA HVDS,OKE-IRA,IKEJA,1069246,NOB OLUWA
5143,1000262508,11-AgegeINJ-T3-Oyemekun-18 GBAGBA CRESCENT,IFAKO,IKEJA,1070842,OYEMEKUN
5655,1000259873,11-Oke IraINJ-T2-Kayode-27 ADERINTO STR,IFAKO,IKEJA,1069288,KAYODE
5911,1000258436,11-Oke IraINJ-T2-Kayode-BLK 1 BODUNRIN HVDS 25KVA,OGBA,IKEJA,1069288,KAYODE
7191,1000245599,11-SecretariatINJ-T1-Lateef Jakande-NORUS,OBA AKRAN,IKEJA,1079201,LATEEF JAKANDE
280,1001612556,11-Adeniyi JonesINJ-T1-Adeniyi Jones-AKINOLA 500KVA,OGBA,IKEJA,1069328,ADENIYI JONES
792,1001605049,11-OpebiINJ-T1-Olusosun-HOWSON WRIGHT 2,OREGUN,IKEJA,1070924,OLUSOSUN
2840,1000534934,11-Oke IraINJ-T2-Thomas Salako-AGANGA 500KVA SS,IFAKO,IKEJA,1069281,OKEIRA-THOMAS SALAKO
3352,1000283450,11-Oke IraINJ-T2-Kayode-ADARANIJO - 321 ODUSAMI,OGBA,IKEJA,1069288,KAYODE
4888,1000266446,11-Oke IraINJ-T1-Nob Oluwa-24 HVDS OGUNDELE AVENUE,OKE-IRA,IKEJA,1069246,NOB OLUWA
5144,1000262470,11-AgegeINJ-T3-Oyemekun-24 ADEKOYA STREET,IFAKO,IKEJA,1070842,OYEMEKUN
5656,1000259870,11-Oke IraINJ-T2-Kayode-29/41 ADERINTO STREET,IFAKO,IKEJA,1069288,KAYODE
5912,1000258817,11-Oke IraINJ-T2-Kayode-BLK 38 OLUWOLE HVDS 25KVA,OGBA,IKEJA,1069288,KAYODE
6424,1000255431,"11-AgegeINJ-T3-Oyemekun-2A, HARMONY DRIVE",IFAKO,IKEJA,1070842,OYEMEKUN
7192,1000245596,11-SecretariatINJ-T1-Lateef Jakande-SADIKU YUSUF,OBA AKRAN,IKEJA,1079201,LATEEF JAKANDE
793,1001605047,11-OpebiINJ-T1-Olusosun-BROWN,OREGUN,IKEJA,1070924,OLUSOSUN
1049,1001604486,11-EkoroINJ-T1-Agbele-ADENIYI,IE,IKEJA,1070484,AGBELE
1305,1001602002,11-AgegeINJ-T1-Iju Road-PLOT 83A IJU ROAD,IFAKO,IKEJA,1070846,IJU ROAD
2841,1000534928,11-OjoduINJ-T2-River Valley-LIMSON II,OJODU,IKEJA,1069093,RIVER VALLEY
3353,1000284117,11-OgbaINJ-T1-Ijaye-BLK 68-HVDS PHASE 1,OGBA,IKEJA,1079549,IJAIYE
5145,1000262468,11-AgegeINJ-T3-Oyemekun-35 ADEKOYA STREET,IFAKO,IKEJA,1070842,OYEMEKUN
5657,1000259867,11-Oke IraINJ-T2-Kayode-42/43 ADERINTO STREET,IFAKO,IKEJA,1069288,KAYODE
